1604206549.349;200;0.296;0.296
1604206549.351;200;0.200;0.200
1604206549.362;200;0.287;0.288
1604206549.373;200;0.198;0.196
1604206549.375;200;0.100;0.100
1604206549.379;200;0.154;0.152
1604206549.381;200;0.254;0.252
1604206549.395;200;0.144;0.144
1604206549.398;200;0.048;0.048
1604206549.399;200;0.073;0.072
1604206549.416;200;0.042;0.040
1604206549.456;200;0.248;0.252
1604206549.456;200;0.356;0.356
1604206549.463;200;0.038;0.040
1604206549.492;200;0.042;0.044
1604206549.499;200;0.099;0.100
1604206549.502;200;0.202;0.204
1604206549.512;200;0.037;0.036
1604206549.548;200;0.049;0.052
1604206549.554;200;0.029;0.032
1604206549.591;200;0.042;0.040
1604206549.612;200;0.037;0.036
1604206549.641;200;0.042;0.044
1604206549.658;200;0.034;0.036
1604206549.693;200;0.043;0.044
1604206549.716;200;0.041;0.044
1604206549.745;200;0.046;0.048
1604206549.756;200;0.031;0.032
1604206549.796;200;0.046;0.044
1604206549.815;200;0.041;0.040
1604206549.845;200;0.046;0.048
1604206549.856;200;0.032;0.032
1604206549.891;200;0.041;0.040
1604206549.927;200;0.052;0.052
1604206549.950;200;0.050;0.052
1604206549.958;200;0.033;0.036
1604206549.989;200;0.039;0.040
1604206550.016;200;0.041;0.044
1604206550.052;200;0.053;0.052
1604206550.054;200;0.030;0.032
1604206550.093;200;0.043;0.044
1604206550.118;200;0.044;0.044
1604206550.141;200;0.042;0.040
1604206550.157;200;0.033;0.036
1604206550.200;200;0.050;0.052
1604206550.214;200;0.040;0.040
1604206550.244;200;0.044;0.040
1604206550.257;200;0.033;0.036
1604206550.295;200;0.046;0.044
1604206550.316;200;0.042;0.040
1604206550.345;200;0.046;0.044
1604206550.367;200;0.043;0.044
1604206550.393;200;0.044;0.044
1604206550.416;200;0.042;0.044
1604206550.442;200;0.043;0.044
1604206550.462;200;0.038;0.040
1604206550.491;200;0.042;0.044
1604206550.514;200;0.040;0.040
1604206550.541;200;0.042;0.044
1604206550.562;200;0.038;0.040
1604206550.591;200;0.041;0.040
1604206550.614;200;0.040;0.040
1604206550.640;200;0.041;0.040
1604206550.657;200;0.032;0.036
1604206550.694;200;0.045;0.044
1604206550.715;200;0.040;0.040
1604206550.745;200;0.046;0.044
1604206550.757;200;0.033;0.032
1604206550.792;200;0.043;0.040
1604206550.812;200;0.037;0.036
1604206550.841;200;0.042;0.044
1604206550.857;200;0.033;0.032
1604206550.891;200;0.042;0.040
1604206550.913;200;0.039;0.036
1604206550.939;200;0.040;0.040
1604206550.956;200;0.031;0.032
1604206550.990;200;0.040;0.040
1604206551.013;200;0.039;0.040
1604206551.048;200;0.048;0.052
1604206551.064;200;0.040;0.040
1604206551.090;200;0.041;0.040
1604206551.114;200;0.039;0.040
1604206551.140;200;0.041;0.044
1604206551.155;200;0.030;0.032
1604206551.193;200;0.043;0.044
1604206551.214;200;0.040;0.040
1604206551.241;200;0.042;0.040
1604206551.257;200;0.033;0.032
1604206551.292;200;0.043;0.044
1604206551.315;200;0.040;0.040
1604206551.357;200;0.032;0.036
1604206551.357;200;0.057;0.060
1604206551.391;200;0.041;0.040
1604206551.420;200;0.045;0.044
1604206551.447;200;0.048;0.048
1604206551.465;200;0.040;0.040
1604206551.490;200;0.041;0.040
1604206551.512;200;0.037;0.036
1604206551.542;200;0.043;0.044
1604206551.565;200;0.040;0.040
1604206551.595;200;0.046;0.044
1604206551.614;200;0.040;0.040
1604206551.643;200;0.044;0.048
1604206551.655;200;0.031;0.032
1604206551.692;200;0.043;0.044
1604206551.715;200;0.040;0.044
1604206551.739;200;0.040;0.044
1604206551.760;200;0.035;0.036
1604206551.791;200;0.042;0.040
1604206551.814;200;0.040;0.040
1604206551.847;200;0.047;0.048
1604206551.858;200;0.033;0.036
1604206551.893;200;0.044;0.044
1604206551.914;200;0.039;0.040
1604206551.956;200;0.032;0.036
1604206551.959;200;0.059;0.060
1604206551.991;200;0.041;0.044
1604206552.012;200;0.037;0.036
1604206552.040;200;0.041;0.044
1604206552.056;200;0.031;0.032
1604206552.090;200;0.040;0.040
1604206552.115;200;0.040;0.040
1604206552.140;200;0.041;0.044
1604206552.156;200;0.031;0.032
1604206552.191;200;0.041;0.044
1604206552.219;200;0.044;0.048
1604206552.245;200;0.046;0.044
1604206552.255;200;0.031;0.032
1604206552.291;200;0.042;0.040
1604206552.318;200;0.044;0.044
1604206552.341;200;0.042;0.040
1604206552.356;200;0.032;0.032
1604206552.391;200;0.041;0.044
1604206552.416;200;0.042;0.044
1604206552.439;200;0.039;0.040
1604206552.455;200;0.030;0.032
1604206552.491;200;0.041;0.044
