ts,load
1604214419,37.5
1604214420,31.2
1604214421,20
1604214422,37.5
1604214423,37.4
1604214424,31.2
1604214426,37.5
1604214427,43.7
1604214428,33.4
1604214429,40
1604214430,40
1604214432,26.7
1604214433,18.8
1604214434,33.3
1604214435,33.3
1604214436,25
1604214437,33.3
1604214439,37.4
1604214440,25
1604214441,25
1604214442,43.7
1604214443,25
1604214444,18.8
1604214446,31.2
1604214447,37.4
1604214448,20
1604214449,40
1604214450,37.5
1604214451,26.7
1604214453,26.7
1604214454,43.7
1604214455,20
1604214456,20
1604214457,46.7
1604214458,12.5
1604214460,40
1604214461,46.7
1604214462,18.8
1604214463,37.4
1604214464,33.3
1604214465,40
1604214467,26.7
1604214468,26.7
1604214469,40
1604214470,46.7
1604214471,18.8
1604214472,40
1604214474,31.2
1604214475,18.8
1604214476,31.2
1604214477,40
1604214478,31.2
1604214479,31.2
1604214481,40
1604214482,33.3
1604214483,40
1604214484,40
1604214485,18.8
1604214486,20
1604214488,37.5
1604214489,18.8
1604214490,26.7
1604214491,40
1604214492,25
1604214493,18.8
1604214495,56.2
1604214496,33.3
1604214497,20
1604214498,31.2
1604214499,53.4
1604214501,25
1604214502,31.2
1604214503,43.7
1604214504,25
1604214505,26.7
1604214506,43.8
1604214508,33.4
1604214509,25
1604214510,37.5
1604214511,40
1604214512,12.5
1604214513,20
1604214515,26.7
1604214516,40
1604214517,37.5
1604214518,37.5
1604214519,20
1604214520,33.3
1604214522,40
1604214523,12.5
1604214524,18.8
1604214525,43.8
1604214526,26.7
1604214527,20
1604214529,40
1604214530,37.5
1604214531,26.7
1604214532,33.4
1604214533,46.7
1604214534,13.3
1604214536,31.2
1604214537,37.5
1604214538,33.4
1604214539,25
1604214540,37.5
1604214541,26.7
1604214543,37.5
1604214544,37.5
1604214545,18.8
1604214546,25
1604214547,26.7
1604214548,40
1604214550,25
1604214551,25
1604214552,46.7
1604214553,25
1604214554,25
1604214555,35.3
1604214557,33.3
1604214558,26.7
1604214559,33.4
1604214560,53.4
1604214561,31.2
1604214562,26.7
1604214564,33.3
1604214565,43.6
1604214566,25
1604214567,40
1604214568,26.7
1604214569,33.4
1604214571,33.3
1604214572,31.2
1604214573,13.3
1604214574,37.5
1604214575,31.2
1604214576,26.7
1604214578,25
1604214579,40
1604214580,26.7
1604214581,50
1604214582,25
1604214584,26.7
1604214585,43.6
1604214586,20
1604214587,26.7
1604214588,31.2
1604214589,26.7
1604214591,53.4
1604214592,6.2
1604214593,40
1604214594,40
1604214595,31.2
1604214596,20
1604214598,25
1604214599,33.3
1604214600,26.7
1604214601,26.7
1604214602,40
1604214603,40
1604214605,37.5
1604214606,20
1604214607,31.2
1604214608,37.5
1604214609,33.4
1604214610,25
1604214612,26.7
1604214613,20
1604214614,31.2
1604214615,33.4
1604214616,20
1604214617,31.2
1604214619,0
1604214620,0
1604214621,18.7
