ts,load
1604220568,40
1604220569,43.7
1604220570,46.7
1604220572,46.7
1604220573,40
1604220574,31.2
1604220575,33.4
1604220576,13.3
1604220577,50
1604220579,50
1604220580,25
1604220581,50
1604220582,33.3
1604220583,46.7
1604220584,53.4
1604220586,37.4
1604220587,33.3
1604220588,80
1604220589,50
1604220590,33.3
1604220592,26.7
1604220593,43.8
1604220594,50
1604220595,33.4
1604220596,31.2
1604220597,43.8
1604220599,46.7
1604220600,20
1604220601,33.3
1604220602,47.1
1604220603,46.7
1604220604,26.7
1604220606,40
1604220607,66.6
1604220608,43.7
1604220609,31.2
1604220610,40
1604220611,53.3
1604220613,40
1604220614,37.4
1604220615,43.8
1604220616,31.2
1604220617,13.3
1604220619,62.4
1604220620,33.3
1604220621,60
1604220622,33.3
1604220623,40
1604220624,53.3
1604220626,43.8
1604220627,18.8
1604220628,31.2
1604220629,46.7
1604220630,60.1
1604220631,40
1604220633,31.2
1604220634,43.8
1604220635,53.4
1604220636,33.3
1604220637,43.7
1604220638,43.8
1604220640,50
1604220641,40
1604220642,31.2
1604220643,50
1604220644,53.3
1604220646,26.7
1604220647,31.2
1604220648,53.3
1604220649,37.5
1604220650,31.2
1604220651,25
1604220653,43.7
1604220654,53.3
1604220655,37.4
1604220656,37.5
1604220657,43.8
1604220658,46.7
1604220660,33.4
1604220661,31.2
1604220662,33.3
1604220663,53.3
1604220664,53.4
1604220666,25
1604220667,40
1604220668,56.2
1604220669,37.4
1604220670,31.2
1604220671,43.6
1604220673,43.7
1604220674,50
1604220675,33.3
1604220676,33.3
1604220677,53.4
1604220678,53.4
1604220680,26.7
1604220681,37.5
1604220682,50
1604220683,37.4
1604220684,43.7
1604220685,66.7
1604220687,37.5
1604220688,43.7
1604220689,40
1604220690,40
1604220691,50
1604220693,25
1604220694,46.7
1604220695,33.4
1604220696,33.3
1604220697,40
1604220698,43.8
1604220700,50
1604220701,31.2
1604220702,31.2
1604220703,46.7
1604220704,40
1604220705,37.5
1604220707,18.8
1604220708,46.7
1604220709,60
1604220710,33.3
1604220711,60
1604220712,50
1604220714,33.3
1604220715,33.3
1604220716,53.4
1604220717,53.4
1604220718,37.4
1604220720,31.2
1604220721,50
1604220722,37.5
1604220723,31.2
1604220724,43.7
1604220725,50
1604220727,26.7
1604220728,26.7
1604220729,46.7
1604220730,53.4
1604220731,37.5
1604220732,33.3
1604220734,46.7
1604220735,40
1604220736,31.2
1604220737,43.7
1604220738,43.8
1604220739,46.7
1604220741,37.4
1604220742,6.2
