ts,load
1604201841,33.3
1604201843,53.4
1604201844,53.3
1604201845,33.3
1604201846,40
1604201847,53.3
1604201848,31.2
1604201850,25
1604201851,53.3
1604201852,40
1604201853,46.7
1604201854,37.5
1604201856,50
1604201857,50
1604201858,40
1604201859,25
1604201860,49.9
1604201861,56.2
1604201863,53.3
1604201864,33.3
1604201865,43.8
1604201866,56.2
1604201867,31.2
1604201868,40
1604201870,33.3
1604201871,46.7
1604201872,40
1604201873,56.2
1604201874,43.7
1604201875,31.2
1604201877,43.7
1604201878,40
1604201879,46.7
1604201880,40
1604201881,43.8
1604201882,26.7
1604201884,33.3
1604201885,46.7
1604201886,53.3
1604201887,40
1604201888,40
1604201890,46.7
1604201891,66.7
1604201892,40
1604201893,37.5
1604201894,46.7
1604201895,46.7
1604201897,26.7
1604201898,50
1604201899,50
1604201900,31.2
1604201901,33.3
1604201902,43.8
1604201904,60
1604201905,31.2
1604201906,43.8
1604201907,43.8
1604201908,50
1604201909,31.2
1604201911,31.2
1604201912,50
1604201913,37.5
1604201914,25
1604201915,40
1604201917,40
1604201918,26.7
1604201919,26.7
1604201920,56.2
1604201921,40
1604201922,53.4
1604201924,26.7
1604201925,43.8
1604201926,50
1604201927,31.2
1604201928,40
1604201929,53.3
1604201931,46.7
1604201932,40
1604201933,37.4
1604201934,40
1604201935,46.7
1604201936,33.3
1604201938,33.3
1604201939,53.3
1604201940,46.7
1604201941,33.4
1604201942,43.7
1604201944,53.3
1604201945,43.7
1604201946,40
1604201947,60
1604201948,53.4
1604201949,26.7
1604201951,68.8
1604201952,26.7
1604201953,46.7
1604201954,26.7
1604201955,33.4
1604201956,43.7
1604201958,43.7
1604201959,46.7
1604201960,26.7
1604201961,46.7
1604201962,46.7
1604201963,33.4
1604201965,37.5
1604201966,66.7
1604201967,53.4
1604201968,31.2
1604201969,33.3
1604201971,46.7
1604201972,60
1604201973,46.7
1604201974,37.5
1604201975,50
1604201976,40
1604201978,31.2
1604201979,37.5
1604201980,53.3
1604201981,33.3
1604201982,33.3
1604201983,56.2
1604201985,53.3
1604201986,40
1604201987,46.7
1604201988,31.2
1604201989,53.3
1604201990,60
1604201992,26.7
1604201993,53.4
1604201994,60
1604201995,25
1604201996,37.5
1604201998,56.2
1604201999,31.2
1604202000,43.7
1604202001,50
1604202002,46.7
1604202003,33.4
1604202005,46.7
1604202006,46.7
1604202007,56.2
1604202008,56.2
1604202009,31.2
1604202010,33.3
1604202012,12.5
1604202013,46.7
1604202014,33.3
1604202015,60
1604202016,66.7
1604202017,33.3
1604202019,46.7
1604202020,46.7
1604202021,26.7
1604202022,20
1604202023,24.8
