ts,load
1604202503,46.7
1604202504,31.2
1604202505,20
1604202506,33.3
1604202508,33.3
1604202509,13.3
1604202510,25
1604202511,33.3
1604202512,18.8
1604202513,43.8
1604202515,26.7
1604202516,26.7
1604202517,40
1604202518,33.4
1604202519,25
1604202520,46.7
1604202522,18.8
1604202523,25
1604202524,53.4
1604202525,31.2
1604202526,20
1604202527,37.5
1604202529,20
1604202530,25
1604202531,46.7
1604202532,37.5
1604202533,20
1604202534,40
1604202536,26.7
1604202537,31.2
1604202538,20
1604202539,25
1604202540,53.4
1604202541,31.2
1604202542,20
1604202544,43.8
1604202545,33.3
1604202546,18.8
1604202547,40
1604202548,33.4
1604202549,18.8
1604202551,40
1604202552,25
1604202553,20
1604202554,43.8
1604202555,40
1604202556,26.7
1604202558,40
1604202559,26.7
1604202560,25
1604202561,40
1604202562,26.7
1604202563,25
1604202565,33.3
1604202566,20
1604202567,26.7
1604202568,18.8
1604202569,26.7
1604202570,31.2
1604202572,20
1604202573,31.2
1604202574,40
1604202575,62.4
1604202576,26.7
1604202577,33.3
1604202579,31.2
1604202580,26.7
1604202581,31.2
1604202582,37.5
1604202583,20
1604202584,29.4
1604202586,40
1604202587,24.9
1604202588,33.3
1604202589,37.5
1604202590,26.7
1604202591,25
1604202593,46.7
1604202594,33.4
1604202595,40
1604202596,18.8
1604202597,40
1604202598,20
1604202600,18.8
1604202601,33.3
1604202602,18.8
1604202603,18.8
1604202604,60
1604202605,37.5
1604202607,26.7
1604202608,37.5
1604202609,26.7
1604202610,18.8
1604202611,26.7
1604202612,26.7
1604202614,26.7
1604202615,20
1604202616,40
1604202617,25
1604202618,26.7
1604202619,18.8
1604202621,40
1604202622,33.3
1604202623,33.3
1604202624,33.3
1604202625,26.7
1604202626,31.2
1604202628,37.4
1604202629,40
1604202630,33.3
1604202631,20
1604202632,26.7
1604202633,25
1604202635,20
1604202636,25
1604202637,40
1604202638,18.8
1604202639,26.7
1604202640,23.5
1604202642,40
1604202643,40
1604202644,20
1604202645,33.3
1604202646,40
1604202647,26.7
1604202649,12.5
1604202650,46.7
1604202651,18.8
1604202652,33.3
1604202653,31.2
1604202654,20
1604202656,33.3
1604202657,33.3
1604202658,18.8
1604202659,33.3
1604202660,25
1604202661,20
1604202663,50
1604202664,26.7
1604202665,46.7
1604202666,18.8
1604202667,26.7
1604202668,33.4
1604202670,33.4
1604202671,33.3
1604202672,40
1604202673,40
1604202674,33.4
1604202675,40
1604202677,25
1604202678,20
1604202679,26.7
1604202680,20
1604202681,43.7
1604202682,40
1604202684,31.2
1604202685,33.3
1604202686,18.8
1604202687,40
1604202688,18.8
1604202689,33.3
1604202691,46.7
1604202692,26.7
1604202693,43.8
1604202694,26.7
1604202695,18.8
1604202696,40
1604202698,26.7
1604202699,25
1604202700,40
1604202701,0
