1604201435386,false,128,59814272,60488229,0,0
1604201448201,true,256,117694912,67269791,0,17
1604201460994,true,128,58689168,55356782,0,8
1604201473740,true,128,58691112,50393152,0,7
1604201486606,true,128,58674904,53784777,0,11
1604201499314,true,128,58683312,45741921,0,7
1604201512188,true,128,58667960,41874940,0,8
1604201524995,true,128,58639256,46537902,0,7
1604201537713,true,128,58650160,46368165,0,7
1604201550584,true,128,58911360,43379441,0,6
1604201563413,true,129,59118944,48906295,23,8
1604201576287,true,128,59104216,47695862,0,6
1604201589086,true,128,59104864,40377628,0,5
1604201601889,true,128,59094768,38695643,0,6
1604201614693,true,128,59095520,50248163,0,13
1604201627486,true,128,59094680,40935292,0,5
1604201640287,true,128,59097072,44883862,0,4
1604201653085,true,128,59099728,46959958,0,4
1604201665889,true,128,59091920,52844876,0,7
1604201678688,true,128,59090176,55566973,0,7
1604201691486,true,128,59091632,43661514,0,3
1604201704213,true,128,59106344,40541827,0,7
1604201717028,true,128,59113640,40919621,0,3
1604201729883,true,128,59128048,43328663,0,3
1604201742686,true,128,59128640,42999044,0,4
1604201755462,true,128,59123272,52553377,0,6
1604201768311,true,129,59590312,56555338,18,6
1604201781192,true,128,58928200,57311861,0,8
1604201793939,true,128,58669880,53205652,0,8
1604201806789,true,128,58668736,41394685,0,8
1604201819610,true,129,59127392,39925665,23,5
1604201832489,true,128,59128608,43990940,0,7
1604201845286,true,128,59117680,48375261,0,6
1604201858059,true,128,59126896,44543281,0,6
1604201870839,true,128,59119392,43200470,0,9
1604201883660,true,128,59121072,49658532,0,6
1604201896485,true,128,59127584,40199797,0,5
1604201909289,true,128,59119568,47980729,0,6
1604201922042,true,128,59118752,42529440,0,7
1604201934887,true,128,59119568,47418069,0,7
1604201947685,true,128,59118648,44935572,0,7
1604201960436,true,128,59127168,47431822,0,7
1604201973286,true,128,59129496,45915202,0,6
1604201986084,true,128,59121200,40256602,0,5
1604201998887,true,128,59133704,40998375,0,5
1604202011688,true,128,59135664,42881080,0,8
