ts,load
1604203944,26.7
1604203945,40
1604203946,18.8
1604203948,33.4
1604203949,40
1604203950,26.7
1604203951,31.2
1604203952,40
1604203953,25
1604203955,40
1604203956,37.5
1604203957,20
1604203958,33.3
1604203959,40
1604203960,18.8
1604203962,26.7
1604203963,46.7
1604203964,20
1604203965,26.7
1604203966,46.7
1604203967,26.7
1604203969,31.2
1604203970,40
1604203971,25
1604203972,25
1604203973,40
1604203974,25
1604203976,33.4
1604203977,40
1604203978,20
1604203979,31.2
1604203980,40
1604203981,18.8
1604203983,37.4
1604203984,43.7
1604203985,20
1604203986,26.7
1604203987,46.7
1604203988,18.8
1604203990,40.1
1604203991,37.5
1604203992,26.7
1604203993,33.4
1604203994,33.3
1604203995,25
1604203997,26.7
1604203998,37.5
1604203999,20
1604204000,33.3
1604204001,37.5
1604204002,20
1604204004,31.2
1604204005,40
1604204006,20
1604204007,25
1604204008,40
1604204009,18.8
1604204011,25
1604204012,43.7
1604204013,20
1604204014,31.2
1604204015,40
1604204016,20
1604204018,33.3
1604204019,43.7
1604204020,20
1604204021,40
1604204022,18.8
1604204023,40
1604204025,26.7
1604204026,26.7
1604204027,20
1604204028,20
1604204029,20
1604204030,37.5
1604204032,46.7
1604204033,25
1604204034,20
1604204035,37.5
1604204036,40
1604204037,20
1604204039,46.7
1604204040,33.3
1604204041,25
1604204042,40
1604204043,26.7
1604204044,26.7
1604204046,43.7
1604204047,20
1604204048,33.4
1604204049,43.7
1604204050,26.7
1604204051,33.3
1604204053,53.4
1604204054,20
1604204055,25
1604204056,46.7
1604204057,26.7
1604204058,26.7
1604204060,40
1604204061,18.8
1604204062,20
1604204063,40
1604204064,31.2
1604204065,26.7
1604204067,18.8
1604204068,33.3
1604204069,37.5
1604204070,20
1604204071,37.5
1604204072,40
1604204074,40
1604204075,18.8
1604204076,31.2
1604204077,33.3
1604204078,18.8
1604204079,33.3
1604204081,26.7
1604204082,26.7
1604204083,37.5
1604204084,26.7
1604204085,18.8
1604204086,40
1604204088,25
1604204089,26.7
1604204090,31.2
1604204091,26.7
1604204092,33.4
1604204093,40
1604204095,25
1604204096,26.7
1604204097,40
1604204098,20
1604204099,31.2
1604204100,40
1604204102,18.8
1604204103,33.3
1604204104,37.5
1604204105,20
1604204106,25
1604204107,33.3
1604204109,12.5
1604204110,31.2
1604204111,26.7
1604204112,18.8
1604204113,33.3
1604204114,37.5
1604204116,20
1604204117,26.7
1604204118,37.5
1604204119,20
1604204120,33.3
1604204121,37.5
1604204123,20
1604204124,40
1604204125,31.2
1604204126,26.7
1604204127,33.3
1604204128,33.3
1604204130,20
1604204131,46.7
1604204132,33.3
1604204133,18.8
1604204134,33.3
1604204135,26.7
1604204136,0
